Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-7106.534	-7521.793	415.2595	0.2462229	1.581419	3.96743
6	-7101.665	-7516.141	414.4763	0.2709716	1.525222	4.408153
12	-7094.58	-7509.876	415.2963	0.2645793	1.564062	3.929188
18	-7111.76	-7528.207	416.4474	0.2417159	1.65046	3.244376
24	-7116.106	-7531.504	415.3986	0.2639939	1.639643	3.827946
30	-7109.286	-7524.255	414.9686	0.2639939	1.611093	4.090363
36	-7123.875	-7539.27	415.395	0.2463752	1.63133	3.860953
42	-7104.145	-7519.599	415.454	0.2351353	1.585309	3.870764
48	-7108.883	-7523.297	414.4141	0.2351353	1.507105	4.505775
54	-7124.158	-7537.999	413.8414	0.2199648	1.507105	4.84993
60	-7142.277	-7557.681	415.4042	0.2446435	1.579031	3.888327
66	-7135.974	-7551.008	415.0345	0.2014609	1.680876	4.110622
72	-7134.424	-7547.844	413.4205	0.1939504	1.555809	5.099205
78	-7113.756	-7526.981	413.2246	0.2214877	1.534301	5.175034
84	-7114.435	-7527.331	412.8961	0.2338909	1.465495	5.375486
90	-7118.03	-7533.253	415.2226	0.226965	1.627963	3.991705
96	-7095.811	-7510.727	414.9163	0.2481703	1.64289	4.125283
102	-7117.175	-7532.792	415.6173	0.2548252	1.633563	3.718901
108	-7127.846	-7543.739	415.893	0.2320667	1.685072	3.564304
114	-7140.823	-7557.479	416.6561	0.2246931	1.742946	3.093114
120	-7143.221	-7555.268	412.0477	0.3015403	1.391932	5.788566
126	-7150.857	-7561.822	410.9646	0.2905653	1.287002	6.449569
132	-7121.875	-7533.365	411.4896	0.2103763	1.372553	6.232221
138	-7125.169	-7536.878	411.7087	0.2938038	1.328066	6.018582
144	-7118.992	-7531.037	412.0452	0.2739963	1.301318	5.875565
150	-7124.422	-7536.602	412.1799	0.2739963	1.323001	5.790064
156	-7136.1	-7549.589	413.4884	0.2676961	1.437975	5.014224
162	-7130.516	-7546.22	415.7042	0.2504416	1.677462	3.64982
168	-7118.834	-7533.185	414.351	0.2463367	1.543506	4.503939
174	-7129.195	-7543.622	414.4269	0.2366709	1.49336	4.503939
180	-7117.468	-7531.278	413.8103	0.2366709	1.509946	4.839936
